0
KVD Beauty
"51,00 $"
"Description : Un baume fond de teint hydratant et modulable dans une formule légère et longue tenue avec un fini mat frais, offert dans un emballage entièrement recyclable.Couvrance : TotaleFini : MatFormule : CrèmeIngrédients vedettes : – Extrait de pomme : Nourrit la peau. – Hyaluronate de sodium : Hydrate la peau.Informations Ingrédients : Sans parabènes, formaldéhydes, agents libérant des formaldéhydes, phtalates, huile minérale, palmitate de rétinyle, oxybenzone, goudron de houille, hydroquinone, sulfates (SLS et SLES), triclocarban et triclosan, et contient moins d’un pour cent de parfum synthétique. Il est également végétalien, non testé sur les animaux et présente un emballage recyclable.Informations supplémentaires : Infusé d’extrait de pomme nourrissant la peau, ce baume fond de teint non comédogène minimise l’apparence des pores et donne à la peau une apparence lisse et saine. La formule non adhésive et sans reflet permet de couvrir rapidement les imperfections et la décoloration pour une confiance accrue instantanée.Bon pour votre peau et la planète, ce produit est offert dans un format compact novateur qui est entièrement recyclable sans miroir, aimant ou métal.EMBOUT AVEC TEINTE CORRESPONDANTE : Certaines teintes n’ont pas le même aspect dans le boîtier que sur la peau. Utilisez les photos de la teinte sur la peau pour vous aider à choisir la bonne teinte. Ne vous inquiétez pas : les retours sont GRATUITS dans les 60 jours suivant l’achat.Résultats cliniques : Lors d’une étude de consommation menée sur 32 volontaires :-97 % des répondants ont déclaré qu’il était léger-94 % des répondants ont convenu qu’il offre une couverture complète modulable-94 % des répondants ont convenu que la peau à une apparence saine, douce et fraîche"
""
IT Cosmetics
"52,00 $"
"Description : Une crème correctrice de teint à couvrance totale, meilleure vendeuse et primée, renfermant un soin anti-âge et un écran solaire FPS 50+.Effet ou usage :Cette crème correctrice de teint fournit une couvrance totale et impeccable et protège la peau avec un écran solaire physique à large spectre UVA/UVB FPS 50+. Il a été cliniquement montré qu’elle augmente l’hydratation, lisse la texture et rehausse la luminosité. Cette formule révolutionnaire ne s’agglutine et ne se craquelle pas et camoufle instantanément les imperfections cutanées, y compris les taches pigmentaires. De plus, elle est infusée d’un sérum antivieillissement avancé composé de collagène hydrolysé, de peptides, de niacine, d’acide hyaluronique, de vitamines et d’antioxydants qui agissent en harmonie pour diminuer l’apparence des rides et des pores et créer un teint plus éclatant, souple et impeccable.Produit SANS :- Parabènes- PhtalatesCe que vous devez aussi savoir :Ce produit a remporté le Prix des lectrices Allure.Mis au point avec des chirurgiens plastiques et des dermatologues, ce produit a été testé cliniquement, n’a pas été testé sur des animaux et ne contient pas de talc.« C’est véritablement un miracle de beauté multitâche tout en un, pour révéler votre peau sous son meilleur jour! Si vous hésitez entre clair et moyen, optez pour moyen. Chaque jour, je porte le ton moyen, il s’ajuste parfaitement au ton de votre peau. » Jamie Kern Lima, cofondatrice"
""
bareMinerals
"40,00 $"
"Couvrance :✔ MoyenneTypes de peau :✔ Sec✔ MixteFinition :✔ NaturelDescription :Un puissant fond de teint hydratant qui associe les bienfaits d’une crème BB et CC pour un fini lisse et éclatant.Ce qu’elle fait : Cette crème polyvalente offre une couvrance fraîche transparente à moyenne qui donne à la peau une apparence radieuse, douce et lisse. Formulée avec des électrolytes minéraux pour dynamiser la peau, elle est également infusée de végétaux marins pour aider à reconstituer la peau sèche. Elle contient de la globulaire à feuilles en cœur, un antioxydant, qui aide à protéger la peau des facteurs de stress environnementaux, améliorant ainsi l’apparence de la peau tout en préservant son hydratation. Elle est disponible en 16 teintes.Ce produit est formulé SANS :- Parabènes- Sulfates- PhthalatesComplément d’information : La crème Complexion Rescue™ est testé par des dermatologues; hypoallergénique, non comédogène, sans huile, sans silicone et sans parfum.Ce produit a remporté la distinction « Best of beauty » magazine  Allure en 2015, 2016 et 2017, et un Prix des lectrices  Allure. Résultats d’études :Dans une étude américaine indépendante menée après de 63 femmes : - La peau semble hydratée jusqu’à 12 heures après l’application - La peau semble ravivée et se sent rafraîchie - La peau semble plus jeune - 88 % des femmes ont trouvé que Complexion Rescue est pratique à intégrer dans leur style de vie actif - 100 % ont observé une amélioration de la texture de la peau en une semaine seulement"
""
FENTY BEAUTY by Rihanna
"47,00 $"
"Description : Un fond de teint mat à longue tenue et superposable offrant une couvrance moyenne à totale, qui se décline dans un éventail de 50 teintes.Couvrance : Totale  Finition : Mat  Formule : Liquide Type de peau : Normale, mixte et grasse  Informations ingrédients : Sans phtalates ni parabènes. Ce produit n’a pas été testé sur les animaux.Informations supplémentaires : Ce fond de teint longue tenue et aérien dote la peau d'un fini instantanément lisse, sans brillance et aux pores diffus. La formule sans huile est élaborée selon une technologie qui s’adapte au climat, résiste à la sueur et à l’humidité et n’obstrue pas les pores : où que vous soyez, elle fonctionnera sur votre peau.Ce produit a remporté le prix Best of Beauty du magazine Allure."
""
Rare Beauty by Selena Gomez
"38,00 $"
